"TF1","TF2","TF3","TF4","TF5","TF6","TF7","TF8","TF9","TF10","TF11","TF12","TF13","TF14","TF15","TF16","TF17","TF18","TF19","TF20","TF21","TF22","TF23","TF24","TF25","TF26","TF27","TF28","TF29","TF30","TF31","TF32","TF33","TF34","TF35","TF36","TF37","TF38","TF39","TF40","TF41","TF42","TF43","TF44","TF45","TF46","TF47","TF48","TF49","TF50","TF51","TF52","TF53","TF54","TF55","TF56","TF57","TF58","TF59","TF60","TF61","TF62","TF63","TF64","TF65","TF66","TF67","TF68","TF69","TF70","TF71","TF72","TF73","TF74","TF75","TF76","TF77","TF78","TF79","TF80","TF81","TF82","TF83","TF84","TF85","TF86","TF87","TF88","TF89","TF90","TF91","TF92","TF93","TF94","TF95","TF96","TF97","TF98","TF99","TF100"
"TF1",-1,0,0,0,0,0,0,0,0,0,0,0,0,0.166256,0,0,0,0,0,0,0,-0.124781,0,0,0,0,0,0,0,0.100537,-0.0886334,0,0,0,0,0,0,0,0,0,0.0848047,0,0,0.079677,0,0,0.122866,-0.159133,0,-0.0908563,0,0.191859,-0.165784,0,-0.156671,0,-0.107406,0,-0.187231,0,0,0,-0.176842,0,-0.140331,0,0,0,0,0,-0.138824,0,0,-0.173685,0,-0.185031,0,0,0.147547,0,0,0,0.230957,0,-0.112323,0,0,0,0,0,0,0.198472,0,0,0,0,0,0.132283,0,0
"TF2",0,-1,0,0,0,0,0.137666,0,0,0,0.151296,0,0,0,-0.139411,0.141003,0,0,0,0,0,0,0,-0.197464,0,-0.089687,0,0,0,0.126605,0,0,0,0,-0.111229,0,0,0,0,0,0,0,0.147177,0,-0.112906,0,0,0,-0.169271,-0.210473,-0.11517,0,0,0,0,0.128531,-0.086942,0,0,-0.094254,0,0,0,0,0,-0.0839597,0,0,0,-0.202213,0.190118,-0.212075,0,0.120579,0.211511,0,0,0,0,0,0,-0.123419,-0.120825,0,0,0,0,0,0,0,0,0,0,0.0921999,-0.14043,0,0,-0.107941,0,0
"TF3",0,0,-1,-0.0924818,-0.117894,0,0,0,0.143594,0,0,0,0.10603,0,-0.125474,0,0,0.223691,0,0,0,0,0,0,0,0,0,0,-0.120236,0,0,-0.080032,0,0,0,0,-0.18254,0,0,0,0,0.147734,0,0,0,0,0.183054,0,0,0,0,0,0,-0.153585,0,0,0,0,0.0792828,0,0.111956,0,0,0,0,0,0,0,0,0,0,-0.127279,0,0,0.177706,0,0,-0.180904,0,0,0,0,0,0,0.167642,0,0,0,-0.151685,0.167904,0,0,0.158846,0.0959999,0,0,-0.0793806,0,0.0999889,0.0918378
"TF4",0,0.2641,0.191073,-1,0,0.178518,0,0,0,0,0,0,0,-0.0936115,0,0,0,0,0,0,0,0,0.187289,0,0,0,-0.113965,-0.0829351,0,0,0,0.08326,0,0,0,0,0.0825402,0,-0.210839,0.128313,0,0,0,0,0,0,0,0,0,0,0,0,0.14898,0,-0.0926091,0,0,-0.15245,0,0,0,0,0.0933049,0.149415,0.112066,0,0.117044,0,0,0,0,0,0,0,0,0,0,-0.109543,-0.268823,0,0,0,0,0,0.0973405,0,0,0,0,0.141,0.117374,0,0,0,0,0,-0.182782,0,-0.135539,0.0926879
"TF5",0,0,0,0,-1,0,0.100404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243494,0,0,0.108963,0,0,0,-0.124328,0,0,0,-0.151972,-0.11856,0,0,0,-0.219631,0,0,0,0,0,0,0.212437,0,0,0,0,0,0,0.120179,0,0,0,0,-0.0914285,0.125416,0.224318,0,0,0,0,-0.0838221,0,0.137978,0,0,0,0,0,0.152289,0,0,0.0935663,0,0,0,0,0,0,-0.0790454,0,-0.145976,0.135325,0,0.182735,0.169092,0.235865,0,-0.15479,0,0,0,0.113167,0,-0.129975,0.092282,-0.0823417
"TF6",0.114469,0,0,0,0,-1,0,0,0.106324,0,0,0,0,0.219417,-0.122971,0,0,0,0,-0.16933,0,0,0,0,0,0,0.184302,-0.110568,0,0,0,0,0,0,-0.0900027,-0.0894933,0,0.087672,0,0,0.203164,-0.220573,0,0,0.0928077,0,-0.16008,0,0,0,0,0.128811,0,-0.0810181,0,-0.161689,0,0.161824,0.0786926,0,0,0,0,0,-0.109163,0,0,0,0,0,0,0.270147,0.195297,0,-0.0950287,0,0,0,0,0,0,0,-0.112364,-0.140725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134532,0
"TF7",0,0,-0.117951,0,0,0,-1,0.0915207,0.105125,-0.186624,0,0,0,0,0,0,0,0.105683,0,0.0935877,0,0,-0.102009,0,0,0,0.086967,0,0.200523,-0.173072,0.177751,0,0,0,0,0,0,0,0,0,-0.156565,0,0.0925663,0,0,0,0,0,0,0.103701,0,0,0,-0.100934,-0.0915159,0,0,0,0,0,0,-0.0942728,-0.0989613,0,0,-0.179277,0,0.0878958,0,0,0,0.102065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100499,-0.157959,0,0,0,0,0.130625,0,-0.149474,-0.157344,0,0.128976,0,-0.319104,0
"TF8",0,0,0,0,0,-0.120352,0,-1,0,0,0,0,0,0,0,0.194028,0,-0.105671,-0.0987825,0,0,0.161911,-0.134882,0,0,0,0,0,-0.0929033,0,0,0,0,0,-0.164,0.136746,0,0,0,0.0919065,0,0,0,0,-0.10452,0,0,0,0,0,0,0,0.140592,0,0,0.238297,0,-0.127629,0,0,0,0,0,0,0,-0.276978,0,-0.193816,0,0,0,-0.0871718,0,0.0940426,0,0,0,0,0.317718,0,-0.111468,0,0,0,0,0,0,0,0.11528,0,0,0.174388,0,0,0.205801,0,0,0,0,0
"TF9",0,0,-0.112873,0,-0.205531,-0.217426,0.0810746,0,-1,0,-0.0892184,0,0,0,0,0.172626,0,0,-0.0820947,0.166636,0,0,0.137714,0,0,0,0,0,0,0,0,0,0.168039,0,0.0890036,0.106413,0,0,0,0,0,0,0,0,0,0,0,0,-0.15471,0,0.0847653,0.0823413,0,0,0,0,0,0.0860851,0,0,0,0,0,0,-0.213333,0,0.101437,0,0,0,0,-0.203619,0,0,0,-0.114985,0,0,0,0,0,0,0.25203,-0.144862,0,0,0,0,0,0.137437,0.13235,0,0,0,0,0,0.107648,0.163781,0,0.199028
"TF10",-0.0983768,0,0,0.177341,0.110848,0,0,0,0,-1,0.180906,0.172064,0,0.138161,0,0,0.09456,0,0,0,0,-0.102489,0,0,-0.148516,0,0,0,0,0,0,0,0,-0.243772,0,0.110663,-0.105751,0,0,0.0916524,-0.113907,-0.11244,0,0,0,0,0,0.105616,0,0,0.107466,-0.176768,0,0,0,0,-0.146043,0,0,0.12887,0,0,0,0,-0.119758,0,0,0,0,0,0,0,-0.138628,0,0,0,0.0828166,-0.13947,0,0,-0.142896,0,0.257869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112679,0,0
