"TF1","TF2","TF3","TF4","TF5","TF6","TF7","TF8","TF9","TF10","TF11","TF12","TF13","TF14","TF15","TF16","TF17","TF18","TF19","TF20","TF21","TF22","TF23","TF24","TF25","TF26","TF27","TF28","TF29","TF30"
"TF1",-1,0,0,0,0,0,0.112648,0,-0.178379,0,0.163519,0,0.175118,0,0,0.143228,0,0,0,0.203917,0,0,0,0,-0.255584,-0.153295,-0.203997,0,0.136462,0
"TF2",0,-1,-0.347691,-0.14449,-0.147847,-0.149607,0,0,0,0,-0.207406,-0.299745,0,0,0,0,0,0,0,-0.174184,0.119957,0.120146,0.266535,0,0,0,0,0,-0.214738,0
"TF3",0,0,-1,0,0,-0.144216,0,0,0,0.229334,0,-0.170025,0,-0.142646,0,0,0,0,0,0,-0.277893,0,0,-0.156928,0,0.169481,0,0.180627,-0.152076,0.271627
"TF4",0,0,0.19967,-1,0,0,0,0,0,0.1855,0,0.189923,0,-0.188185,-0.139718,0.169996,0,0,0,0,0,0,0,0,-0.232596,0,0.195505,0,0.216275,-0.106454
"TF5",0,0.234583,0,0.115908,-1,0,0,0.131299,-0.201995,-0.240226,0.223105,-0.108364,-0.21101,-0.164798,0.144142,0,0,0,0,0,0.113393,0.22398,0,-0.229768,0,0.198038,0,0,0,-0.236095
"TF6",-0.161527,0,0,0.117923,0.236469,-1,0.159285,0,0,0.1586,-0.131129,0,-0.121191,0,0.131555,0.278323,0,0.129068,0.119671,0,0,0,-0.111368,-0.142188,0,0,-0.118825,-0.152199,0,0.260753
"TF7",0,0,0,0.13441,-0.158184,0,-1,-0.264471,0,0,0,0,0,0,0.258296,0.198476,-0.201627,-0.183514,0.163379,0,0.298084,-0.141778,0.179571,0,0,0,-0.196917,0.112423,0.11682,0
"TF8",0.235234,0,0,0,0.206041,-0.187471,0,-1,0,-0.162468,0,0,0,0,0.133852,0,-0.158242,0,0,0.226513,0,-0.119611,0,-0.164683,-0.128438,0,0.169976,-0.210115,0,0
"TF9",0,0.212888,0,0,0.30193,0,-0.160666,0,-1,-0.140193,0.266837,0,0.22285,0.124603,0,0,-0.247617,0.269634,0,0,0,0.158162,-0.115379,0,-0.184974,0,0,0,0,-0.15482
"TF10",0,0,0,0,0.195624,0.24915,-0.215594,0,0,-1,0,-0.171745,0,-0.138759,0,0,0,0,-0.239464,0,-0.11604,0,0,0.188409,0.144271,0.168536,0,0,0,0.152886
